# Curated list of available Grafana Cloud integrations.
# Format: slug | name | version | categories | platforms (platforms optional)
# Blank lines and lines starting with '#' are ignored.
raspberry-pi-node | Raspberry Pi | 1.0.1 | IoT, Operating System | linux
rclone | rclone | 1.0.0 | Developer Tools | darwin,linux,windows
redis | Redis | 1.0.0 | Database, Data Warehouse | darwin,linux,windows
redis-enterprise | Redis Enterprise | 1.1.0 | Database, Data Warehouse | linux
ruby-rack | Ruby Rack | 1.0.0 | Web Servers and Proxies, Languages and Frameworks | darwin,linux,windows
sap-hana | SAP HANA® | 1.0.0 | Database, Business Intelligence | linux
snmp | SNMP | 2.0.1 | Networking
snowflake | Snowflake | 1.0.1 | Database, Data Warehouse, Business Intelligence | darwin,linux,windows
spark | Apache Spark | 1.0.0 | Data Transformation, Business Intelligence, Machine Learning | darwin,linux,windows
spring-boot | Spring Boot | 1.0.0 | Languages and Frameworks, Data Format, Developer Tools | darwin,linux,windows
squid | Squid | 1.1.0 | Networking, Web Servers and Proxies | darwin,kubernetes,linux,windows
tensorflow | TensorFlow Serving | 1.0.0 | Developer Tools, Servers and VMs, Machine Learning | kubernetes,linux
traefik | Traefik | 1.0.0 | Networking | darwin,linux,windows
varnish-cache | Varnish Cache | 1.0.0 | Web Servers and Proxies, Networking | darwin,kubernetes,linux
vault | Vault | 1.0.0 | Security | darwin,linux
velero | Velero | 1.0.1 | Developer Tools, Cloud Provider, Logs
vsphere | vSphere | 1.0.2 | Developer Tools, Servers and VMs, Networking
wildfly | Wildfly | 1.1.0 | Web Servers and Proxies | darwin,kubernetes,linux,windows
windows-active-directory | Windows Active Directory | 1.0.2 | Database, Logs, Business Intelligence, Servers and VMs, Security | windows
windows-exporter | Windows | 1.4.0 | Operating System, Servers and VMs | kubernetes,windows
wso2-enterprise-integrator | WSO2 Enterprise Integrator | 1.0.0 | Developer Tools | darwin,linux,windows
wso2-streaming-integrator | WSO2 Streaming Integrator | 1.0.0 | Developer Tools | darwin,linux,windows
